ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title,Direction
237351_at,7.46e-38,1.36e-42,-2.13e+01,86.2365966,-4.16,LOC284825,uncharacterized LOC284825,Downregulated
214505_s_at,6.08e-37,2.22e-41,-2.07e+01,83.498205,-5.37,FHL1,four and a half LIM domains 1,Downregulated
89977_at,1.33e-36,7.31e-41,-2.04e+01,82.3304743,-4.37,ACSM5,acyl-CoA synthetase medium-chain family member 5,Downregulated
230595_at,1.43e-36,1.15e-40,-2.03e+01,81.8810604,-3.58,PGM5-AS1,PGM5 antisense RNA 1,Downregulated
214582_at,1.43e-36,1.31e-40,-2.03e+01,81.7556887,-4.41,PDE3B,phosphodiesterase 3B,Downregulated
223764_x_at,4.86e-36,5.34e-40,-2.00e+01,80.377454,-3.51,NIPSNAP3B,nipsnap homolog 3B,Downregulated
219059_s_at,1.06e-35,1.36e-39,-1.98e+01,79.4618665,-4.44,LYVE1,lymphatic vessel endothelial hyaluronan receptor 1,Downregulated
235670_at,1.93e-35,2.82e-39,-1.96e+01,78.7422004,-3.59,STX11,syntaxin 11,Downregulated
206930_at,2.00e-35,3.29e-39,-1.96e+01,78.590355,-4.49,GLYAT,glycine-N-acyltransferase,Downregulated
221295_at,2.98e-35,5.46e-39,-1.95e+01,78.0922498,-3.93,CIDEA,cell death-inducing DFFA-like effector a,Downregulated
235382_at,7.96e-35,1.89e-38,-1.92e+01,76.8694587,-4.15,LVRN,laeverin,Downregulated
223727_at,3.41e-34,9.36e-38,-1.89e+01,75.296953,-4.43,KCNIP2,potassium voltage-gated channel interacting protein 2,Downregulated
232313_at,3.74e-34,1.09e-37,-1.89e+01,75.1435588,-3.80,TMEM132C,transmembrane protein 132C,Downregulated
206069_s_at,4.05e-34,1.26e-37,-1.88e+01,75.0054234,-3.61,ACADL,"acyl-CoA dehydrogenase, long chain",Downregulated
239273_s_at,4.67e-34,1.54e-37,-1.88e+01,74.8083931,-3.37,MMP28,matrix metallopeptidase 28,Downregulated
